market,asin,title,keyword,store,remark,link,image_url,status,,,
US,B0DQ5BHRLS,美国椅垫图评,Round Chair Mat for Hard Floor, BigSN,"Size: 36"" Round for Hard Floor
use coupon",https://amzn.to/4p45BEI,https://m.media-amazon.com/images/I/71AQVU3ghbL._AC_SX522_.jpg,active,,active,removed
US,B0DHCRF2NB,美国椅垫,clear mat for office chair, MESHDOUS,Size: 30" x 48" for Hard Floor,https://amzn.to/43VELGp,https://m.media-amazon.com/images/I/812kqpNHebL._AC_SX679_.jpg,active,,,
US,B0FL2PDGWR,美国除湿机,dehumidifier, Star Han,"Need Text Review
Sold by
Star Han",https://amzn.to/4rjF9J3,https://m.media-amazon.com/images/I/51Xr3p1H8iL._AC_SX679_.jpg,active,,,
US,B0DZC33VRN,美国颈部按摩器,neck massager,WANLIHENG,Need Text Review,https://amzn.to/4rp9RAa,https://m.media-amazon.com/images/I/61bEKd+r9eL._AC_SX679_.jpg,active,,,
US,B0G49H5WSL,美国戒指免评点星,love ring, Yiwushixiaoshengdianzishangwuyouxiangongsi,Need Rating,https://amzn.to/3XGPwJd,https://m.media-amazon.com/images/I/51BT+feRXVL._AC_SY500_.jpg,active,,,
US,B0FNRMQ6GQ,美国戒指,love ring, Yiwushixiaoshengdianzishangwuyouxiangongsi,,https://amzn.to/4iKtGOH,https://m.media-amazon.com/images/I/51BT+feRXVL._AC_SY500_.jpg,active,,,
US,B0FMJCRZTW,美国手部按摩仪图评,hand massager with heat and compression,Alljoy Official Store,Need Image Review,https://amzn.to/3MgAjMC,https://m.media-amazon.com/images/I/61RajxST9rL._AC_SY300_SX300_QL70_FMwebp_.jpg,active,,,
US,B0FH9QT9XS,美国棒球架图评,baseball necklace holder,Skilldance,Need Image Review,https://amzn.to/3Mww5Au,https://m.media-amazon.com/images/I/71+MpbZ1vyL._AC_SY300_SX300_QL70_FMwebp_.jpg,active,,,
US,B0DMQVRQ98,美国发套,hairnets for foodservice,Ritzy-US,Need Text Review,https://amzn.to/483NsRz,"https://m.media-amazon.com/images/I/71qyMTTYb3L._SX679_PIbundle-500,TopRight,0,0_AA679SH20_.jpg",active,,,
US,B0F4QFNH37,美国声卡,voice changer for ps5,Glomtheia,,https://amzn.to/3Xo2trc,https://m.media-amazon.com/images/I/61wIDceIChL._AC_SX679_.jpg,active,,,
US,B0FR2NJG8L,美国护膝图评,ZJMQJ Knee Brace Meniscus Tear Support , qijun2012,,https://amzn.to/4p4ZPD5,https://m.media-amazon.com/images/I/71XtUhsvDmL._SX385_.jpg,active,,,
US,B0FD2TPKYK,美国脚踏,bike pedals universal fit, TAISHAN Sports,Need Text Review,https://amzn.to/3K82bSl,https://m.media-amazon.com/images/I/71CgYew0enL._AC_SX522_.jpg,active,,,
US,1182856065,美国沃尔玛摄像头,Webcam 4K,Vizolink,,https://www.walmart.com/ip/PC-Camera-Webcam-with-4-Microphones-1080P-for-Laptop-Video-Call-Conference-Stream-Computer-Webcam-Vizolink/1182856065?classType=VARIANT&adsRedirect=true,https://i5.walmartimages.com/seo/PC-Camera-Webcam-with-4-Microphones-1080P-for-Laptop-Video-Call-Conference-Stream-Computer-Webcam-Vizolink_7be1f1b3-5def-44fb-804b-397c6b690d3b.ee4f0faaafa573f8984048c63a53552b.jpeg?odnHeight=573&odnWidth=573&odnBg=FFFFFF,active,,,
US,B0CZRD28S5,美国超声波清洗机,zima dental pod ultrasonic cleaner,Woot,Pay attention to choosing the store "woot",https://amzn.to/49IYJIa,https://m.media-amazon.com/images/I/71AnL6hywJL._SL1500_.jpg,active,,,
US,3577273062,美国ebay户外灯,Solar Light Outdoor Waterproof,Depuley,,https://www.ebay.com/itm/357727306272,http://154.48.226.95:5001/image/20251010/cc4d77a6a3b44f34b86952f37822a73f.png,active,,,
US,B0D2HSGFG5,美国CarPlay 屏幕,apple carplay screen,WANYU-US,Need Text Review,https://amzn.to/4odsPXL,https://m.media-amazon.com/images/I/718X3tpKCgL._AC_SL1500_.jpg,active,,,
US,B0DKTFFLWR,美国抽屉式收纳盒,closet drawers,lvzhu store,Size: Medium - 4 Pack  Color: Grey,https://amzn.to/4oJIzCc,"https://m.media-amazon.com/images/I/71kfScsNR1L._AC_SX522_PIbundle-4,TopRight,0,0_SH20_.jpg",active,,,
US,B0FKH9LY3F,美国纯色袋盖收纳盒,storage bins for clothes,Home Storage Factory,Need Text Review,https://amzn.to/4pxt29D,https://m.media-amazon.com/images/I/61ntwSTaPbL._AC_SY300_SX300_QL70_FMwebp_.jpg,active,,,
US,B0G4G65PYS,美国除湿机,dehumidifier,U kitchen Store,"Need Text Review
Sold by
U kitchen Store",https://amzn.to/3MnBkT9,https://m.media-amazon.com/images/I/61ZixoSGV-L._AC_SL1500_.jpg,active,,,
US,B0FMY2PGT5,美国钻头套装 ,brocas para drywall,HKFine Selection,Need Text Review,https://amzn.to/48wIjld,https://m.media-amazon.com/images/I/61nVcTHAi7L._SL1500_.jpg,active,,,
US,B0FMJGFZ24,美国手部按摩仪图评,hand massager ,Alljoy Official Store,Need Image Review,https://amzn.to/3XJmqsH,https://m.media-amazon.com/images/I/61bZ7LnNNXL._AC_SL1500_.jpg,active,,,
US,B0FX1TD4GR,美国行车记录, dash cam front and rear,Woot,Need Text Review,https://amzn.to/4oTGbIZ,https://m.media-amazon.com/images/I/81rkG6tUoyL._AC_SL1500_.jpg,active,,,
US,B07J43CWC3,美国水泵,BOOSTER PUMP,KOLERFLO,,https://amzn.to/48pviss,https://m.media-amazon.com/images/I/71TdscB0a3L._AC_SX679_.jpg,active,,,
US,B0G3WXVWNJ,美国组合沙发,115” L Shaped Modular Sectional Sofa, Lexuan ANJ,Need Text Review,https://amzn.to/48S6LfL,https://m.media-amazon.com/images/I/71vzGQnBdcL._AC_SL1500_.jpg,active,,,
US,B08SCC5JH7,美国缝纫机,sewing machine,benfan,Need Text Review,https://amzn.to/4iBG9UG,https://m.media-amazon.com/images/I/612t0cu+TyL._AC_SL1000_.jpg,active,,,
US,B0FQ5TCLB2,美国按摩刷免评,https://amzn.to/4rCBpCf,LCNRGB,No Review,https://amzn.to/4rCBpCf,https://m.media-amazon.com/images/I/71hHbZFlbaL._AC_SL1500_.jpg,active,,,
US,B0FH67YS3N,美国羊毛垫,guinea pig mats, wealthy-us,Need Text Review,https://amzn.to/48oHx8t,https://m.media-amazon.com/images/I/81q6oWNCDyL._AC_SL1500_.jpg,active,,,
US,B0FJM8NQ4C,美国眼部按摩仪,eye massager ,Alljoy Official Store,Need Text Review,https://amzn.to/4pQ5Fb4,https://m.media-amazon.com/images/I/71R+UqSeagL._AC_SL1500_.jpg,active,,,
US,B0FT37QK1V,美国吹叶机图评,Leaf Blower,YOOVL,"Need Image Review
购买过这家店铺产品的买家就不能再购买
Customers who have purchased products from this store are no longer allowed to make another purchase.",https://amzn.to/48znQuJ,https://m.media-amazon.com/images/I/71QsRZMaG+L._AC_SL1500_.jpg,active,,,
US,B0DJJB7WS9,美国吹叶机图评,Leaf Blower,CCJQ,"Need Image Review
Requires a prime membership account for purchase.
需要会员账号购买
Sold by
CCJQ",https://amzn.to/4p7t0VY,https://m.media-amazon.com/images/I/71AiagbM0oL._AC_SL1500_.jpg,active,,,
US,B0FWXZZR1Y,美国丝袜图评,nylon knee highs for women, Zhuangtu,Need Image Review,https://amzn.to/44RZNGi,https://m.media-amazon.com/images/I/61UxxcYJarL._AC_SX679_.jpg,active,,,
US,B071SBKLF6,美国雨伞,umbrella,SY Compact,Need Text Review,https://amzn.to/4pUfgh8,https://m.media-amazon.com/images/I/71O8qq0kx3L._AC_SL1500_.jpg,active,,,
US,B0D6Z571F6,美国吸顶灯,semi flush mount ceiling light, BO LING,Need Text Review,https://amzn.to/44Adw4s,https://m.media-amazon.com/images/I/610+Dkk56aL._AC_SX679_.jpg,active,,,
US,B0FLY64DDK,美国拖车灯,Wireless Trailer Lights,YaEan,Need Text Review,https://amzn.to/4pwVnwm,https://m.media-amazon.com/images/I/81HBmk7GcrL._AC_SL1500_.jpg,active,,,
US,B0DPN3J57K,美国脱发治疗 ,hair regrowth for men,Amazon.com,"Sold by Amazon.com
use coupon",https://amzn.to/44f1VIb,https://m.media-amazon.com/images/I/51zaB-tcEdL._SX679_.jpg,active,,,
US,B0FB3BQ5YJ,美国无线耳机,Touch-Screen Earbuds,shenzhenshimingsaidianziyouxiangongsi,"Need Text Review
review+feedback",https://amzn.to/44CMb1A,https://m.media-amazon.com/images/I/61WnV-HsHVL._AC_SX679_.jpg,active,,,
